date,bets,staked,profit,cumulative_profit,drawdown
2021-12-03,1,12.0,-12.0,-12.0,12.0
2021-12-05,1,12.5,-12.5,-24.5,24.5
2021-12-10,1,15.0,14.41,-10.09,10.09
2021-12-11,2,30.0,12.93,2.84,0.0
2021-12-12,1,15.0,15.43,18.27,0.0
2021-12-27,1,4.0,-4.0,14.27,4.0
2022-01-14,1,13.5,33.08,47.35,0.0
2022-02-05,1,8.1,-8.1,39.25,8.1
2022-02-06,1,12.5,-12.5,26.75,20.6
2022-02-12,2,24.4,39.57,66.32,0.0
2022-02-13,5,27.0,-20.0,46.32,20.0
2022-02-18,1,15.0,21.32,67.64,0.0
2022-02-19,2,24.3,18.19,85.83,0.0
2022-02-20,1,4.9,-4.9,80.93,4.9
2022-02-25,1,5.2,-5.2,75.73,10.1
2022-02-26,3,15.0,13.54,89.27,0.0
2022-02-27,1,4.8,12.79,102.06,0.0
2022-03-05,1,15.0,-15.0,87.06,15.0
2022-03-13,2,15.0,-15.0,72.06,30.0
2022-03-15,2,15.0,0.65,72.71,29.35
2022-03-19,1,15.0,-15.0,57.71,44.35
2022-03-20,1,15.0,-15.0,42.71,59.35
2022-03-26,2,15.0,1.81,44.52,57.54
2022-03-27,1,15.0,22.79,67.31,34.75
2022-03-28,1,15.0,19.11,86.42,15.64
2022-04-09,2,30.0,39.11,125.53,0.0
2022-04-10,3,15.0,-3.77,121.76,3.77
2022-04-25,1,5.4,-5.4,116.36,9.17
2022-04-29,1,15.0,12.5,128.86,0.0
2022-04-30,2,15.0,16.37,145.23,0.0
2022-05-01,1,15.0,17.64,162.87,0.0
2022-05-07,1,15.0,-15.0,147.87,15.0
2022-05-21,3,15.0,-6.39,141.48,21.39
2022-08-14,1,15.0,24.99,166.47,0.0
2022-08-28,1,13.6,20.66,187.13,0.0
2022-09-17,1,1.8,-1.8,185.33,1.8
2022-09-24,1,12.2,-12.2,173.13,14.0
2022-09-25,1,4.3,-4.3,168.83,18.3
2022-10-08,2,9.4,-0.73,168.1,19.03
2022-10-19,1,7.1,-7.1,161.0,26.13
2022-10-21,1,15.0,16.17,177.17,9.96
2022-10-31,1,11.7,-11.7,165.47,21.66
2022-11-05,2,12.0,1.99,167.46,19.67
2022-11-11,1,5.0,-5.0,162.46,24.67
2022-12-11,1,5.7,-5.7,156.76,30.37
