date,bets,staked,profit,cumulative_profit,drawdown
2021-11-03,1,1.0,3.63,3.63,0.0
2021-11-05,2,5.2,6.37,10.0,0.0
2021-11-06,1,3.1,-3.1,6.9,3.1
2021-11-07,2,5.7,2.36,9.26,0.74
2021-11-20,1,1.1,3.34,12.6,0.0
2021-11-26,1,3.5,-3.5,9.1,3.5
2021-11-28,1,1.7,1.3,10.4,2.2
2021-12-03,1,12.0,-12.0,-1.6,14.2
2021-12-04,1,9.1,-9.1,-10.7,23.3
2021-12-05,1,12.5,-12.5,-23.2,35.8
2021-12-10,2,16.6,12.81,-10.39,22.99
2021-12-11,3,31.1,13.99,3.6,9.0
2021-12-12,1,15.0,15.43,19.03,0.0
2021-12-27,1,4.0,-4.0,15.03,4.0
2022-01-02,1,1.0,-1.0,14.03,5.0
2022-01-13,1,3.3,2.91,16.94,2.09
2022-01-14,1,13.5,33.08,50.02,0.0
2022-01-16,1,1.2,-1.2,48.82,1.2
2022-02-05,1,8.1,-8.1,40.72,9.3
2022-02-06,1,12.5,-12.5,28.22,21.8
2022-02-12,3,24.4,39.55,67.77,0.0
2022-02-13,5,27.0,-20.0,47.77,20.0
2022-02-18,1,15.0,21.32,69.09,0.0
2022-02-19,3,24.3,17.95,87.04,0.0
2022-02-20,1,4.9,-4.9,82.14,4.9
2022-02-25,1,5.2,-5.2,76.94,10.1
2022-02-26,3,15.0,13.54,90.48,0.0
2022-02-27,1,4.8,12.79,103.27,0.0
2022-03-03,1,15.0,17.64,120.91,0.0
2022-03-05,1,15.0,-15.0,105.91,15.0
2022-03-12,2,5.6,-5.6,100.31,20.6
2022-03-13,2,15.0,-15.0,85.31,35.6
2022-03-15,2,15.0,0.65,85.96,34.95
2022-03-19,2,15.0,-15.0,70.96,49.95
2022-03-20,1,15.0,-15.0,55.96,64.95
2022-03-26,2,15.0,1.81,57.77,63.14
2022-03-27,2,15.0,23.84,81.61,39.3
2022-03-28,1,15.0,19.11,100.72,20.19
2022-04-09,4,30.0,33.94,134.66,0.0
2022-04-10,6,25.2,9.74,144.4,0.0
2022-04-16,1,8.2,17.68,162.08,0.0
2022-04-17,1,5.6,-5.6,156.48,5.6
2022-04-24,1,4.0,4.31,160.79,1.29
2022-04-25,2,12.0,-12.0,148.79,13.29
2022-04-29,1,15.0,12.5,161.29,0.79
2022-04-30,2,15.0,16.37,177.66,0.0
2022-05-01,1,15.0,17.64,195.3,0.0
2022-05-07,1,15.0,-15.0,180.3,15.0
2022-05-08,1,3.4,-3.4,176.9,18.4
2022-05-21,3,15.0,-6.39,170.51,24.79
2022-08-14,1,15.0,24.99,195.5,0.0
2022-08-28,1,13.6,20.66,216.16,0.0
2022-09-17,1,1.8,-1.8,214.36,1.8
2022-09-24,1,12.2,-12.2,202.16,14.0
2022-09-25,1,4.3,-4.3,197.86,18.3
2022-10-07,1,2.6,-2.6,195.26,20.9
2022-10-08,2,9.4,-0.73,194.53,21.63
2022-10-14,1,1.1,-1.1,193.43,22.73
2022-10-19,1,7.1,-7.1,186.33,29.83
2022-10-21,1,15.0,16.17,202.5,13.66
2022-10-22,1,1.2,-1.2,201.3,14.86
2022-10-31,1,11.7,-11.7,189.6,26.56
2022-11-05,2,12.0,1.99,191.59,24.57
2022-11-06,1,1.7,-1.7,189.89,26.27
2022-11-11,1,5.0,-5.0,184.89,31.27
2022-11-19,1,1.3,-1.3,183.59,32.57
2022-12-11,1,5.7,-5.7,177.89,38.27
2023-01-01,1,1.1,-1.1,176.79,39.37
2023-01-15,1,5.2,-5.2,171.59,44.57
2023-01-28,1,1.4,4.51,176.1,40.06
2023-02-04,1,4.9,-4.9,171.2,44.96
2023-02-11,2,10.6,-5.7,165.5,50.66
2023-02-17,1,8.3,-8.3,157.2,58.96
2023-02-19,1,4.8,-4.8,152.4,63.76
2023-02-20,1,5.4,-5.4,147.0,69.16
2023-02-21,1,8.4,-8.4,138.6,77.56
2023-02-25,1,5.3,-5.3,133.3,82.86
2023-02-27,1,8.0,-8.0,125.3,90.86
2023-02-28,2,13.7,49.2,174.5,41.66
2023-03-04,1,1.0,-1.0,173.5,42.66
2023-03-18,3,8.0,-8.0,165.5,50.66
2023-03-26,2,15.0,-15.0,150.5,65.66
2023-03-27,1,5.2,-5.2,145.3,70.86
2023-03-31,1,15.0,13.96,159.26,56.9
2023-04-01,3,33.0,28.9,188.16,28.0
2023-04-05,1,8.0,-8.0,180.16,36.0
2023-04-08,2,6.4,-6.4,173.76,42.4
2023-04-15,2,7.4,-7.4,166.36,49.8
2023-04-18,1,15.0,12.05,178.41,37.75
2023-04-21,1,11.3,9.97,188.38,27.78
2023-04-22,1,2.8,-2.8,185.58,30.58
2023-04-25,1,6.5,-6.5,179.08,37.08
2023-04-29,1,15.0,-15.0,164.08,52.08
2023-04-30,1,9.0,22.05,186.13,30.03
2023-05-06,1,15.0,-15.0,171.13,45.03
2023-05-08,1,15.0,-15.0,156.13,60.03
2023-05-13,1,15.0,19.11,175.24,40.92
2023-08-30,1,7.2,17.64,192.88,23.28
2023-10-21,1,15.0,9.7,202.58,13.58
2023-12-17,1,11.7,-11.7,190.88,25.28
2024-02-03,1,3.0,9.41,200.29,15.87
2024-02-17,1,2.2,6.47,206.76,9.4
2024-03-12,1,1.8,5.64,212.4,3.76
2024-04-09,2,4.4,1.13,213.53,2.63
2024-05-05,1,1.8,-1.8,211.73,4.43
